ward,category,period,actual_spend,compared_with,previous_actual_spend,growth_type,growth_pct,formula,status,note
Ward 4 – Warje,Roads & Pothole Repair,2024-05,11.3,2024-04,8.8,MoM,+28.4%,(11.3 - 8.8) / 8.8 x 100,OK,
Ward 4 – Warje,Roads & Pothole Repair,2024-06,12.5,2024-05,11.3,MoM,+10.6%,(12.5 - 11.3) / 11.3 x 100,OK,
Ward 4 – Warje,Roads & Pothole Repair,2024-07,,2024-06,12.5,MoM,,(actual[2024-07] - actual[2024-06]) / actual[2024-06] x 100,NULL_FLAGGED,actual_spend is null - Audit freeze — figures under review; growth not computed
Ward 4 – Warje,Roads & Pothole Repair,2024-08,16.0,2024-07,,MoM,,(actual[2024-08] - actual[2024-07]) / actual[2024-07] x 100,PRIOR_NULL_FLAGGED,2024-07 actual_spend is null - Audit freeze — figures under review; growth not computed
Ward 4 – Warje,Roads & Pothole Repair,2024-09,14.7,2024-08,16.0,MoM,-8.1%,(14.7 - 16.0) / 16.0 x 100,OK,
Ward 4 – Warje,Roads & Pothole Repair,2024-10,11.0,2024-09,14.7,MoM,-25.2%,(11.0 - 14.7) / 14.7 x 100,OK,
Ward 4 – Warje,Roads & Pothole Repair,2024-11,9.0,2024-10,11.0,MoM,-18.2%,(9.0 - 11.0) / 11.0 x 100,OK,
Ward 4 – Warje,Roads & Pothole Repair,2024-12,11.2,2024-11,9.0,MoM,+24.4%,(11.2 - 9.0) / 9.0 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-01,5.3,2023-12,,MoM,,(actual[2024-01] - actual[2023-12]) / actual[2023-12] x 100,NO_PRIOR_PERIOD,no data for 2023-12 in the dataset; growth not computed
Ward 1 – Kasba,Waste Management,2024-02,6.4,2024-01,5.3,MoM,+20.8%,(6.4 - 5.3) / 5.3 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-03,6.5,2024-02,6.4,MoM,+1.6%,(6.5 - 6.4) / 6.4 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-04,5.7,2024-03,6.5,MoM,-12.3%,(5.7 - 6.5) / 6.5 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-05,6.1,2024-04,5.7,MoM,+7.0%,(6.1 - 5.7) / 5.7 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-06,5.7,2024-05,6.1,MoM,-6.6%,(5.7 - 6.1) / 6.1 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-07,7.6,2024-06,5.7,MoM,+33.3%,(7.6 - 5.7) / 5.7 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-08,8.3,2024-07,7.6,MoM,+9.2%,(8.3 - 7.6) / 7.6 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-09,8.9,2024-08,8.3,MoM,+7.2%,(8.9 - 8.3) / 8.3 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-10,6.8,2024-09,8.9,MoM,-23.6%,(6.8 - 8.9) / 8.9 x 100,OK,
Ward 1 – Kasba,Waste Management,2024-11,,2024-10,6.8,MoM,,(actual[2024-11] - actual[2024-10]) / actual[2024-10] x 100,NULL_FLAGGED,actual_spend is null - Contractor change — billing delayed; growth not computed
Ward 1 – Kasba,Waste Management,2024-12,5.1,2024-11,,MoM,,(actual[2024-12] - actual[2024-11]) / actual[2024-11] x 100,PRIOR_NULL_FLAGGED,2024-11 actual_spend is null - Contractor change — billing delayed; growth not computed
Ward 3 – Kothrud,Parks & Greening,2024-01,3.3,2023-12,,MoM,,(actual[2024-01] - actual[2023-12]) / actual[2023-12] x 100,NO_PRIOR_PERIOD,no data for 2023-12 in the dataset; growth not computed
Ward 3 – Kothrud,Parks & Greening,2024-02,3.3,2024-01,3.3,MoM,+0.0%,(3.3 - 3.3) / 3.3 x 100,OK,
Ward 3 – Kothrud,Parks & Greening,2024-03,3.4,2024-02,3.3,MoM,+3.0%,(3.4 - 3.3) / 3.3 x 100,OK,
Ward 3 – Kothrud,Parks & Greening,2024-04,2.8,2024-03,3.4,MoM,-17.6%,(2.8 - 3.4) / 3.4 x 100,OK,
Ward 3 – Kothrud,Parks & Greening,2024-05,2.9,2024-04,2.8,MoM,+3.6%,(2.9 - 2.8) / 2.8 x 100,OK,
Ward 3 – Kothrud,Parks & Greening,2024-06,4.0,2024-05,2.9,MoM,+37.9%,(4.0 - 2.9) / 2.9 x 100,OK,
Ward 3 – Kothrud,Parks & Greening,2024-07,3.8,2024-06,4.0,MoM,-5.0%,(3.8 - 4.0) / 4.0 x 100,OK,
Ward 3 – Kothrud,Parks & Greening,2024-08,,2024-07,3.8,MoM,,(actual[2024-08] - actual[2024-07]) / actual[2024-07] x 100,NULL_FLAGGED,actual_spend is null - Project suspended — pending approval; growth not computed
Ward 3 – Kothrud,Parks & Greening,2024-09,4.4,2024-08,,MoM,,(actual[2024-09] - actual[2024-08]) / actual[2024-08] x 100,PRIOR_NULL_FLAGGED,2024-08 actual_spend is null - Project suspended — pending approval; growth not computed
Ward 3 – Kothrud,Parks & Greening,2024-10,3.5,2024-09,4.4,MoM,-20.5%,(3.5 - 4.4) / 4.4 x 100,OK,
Ward 3 – Kothrud,Parks & Greening,2024-11,3.6,2024-10,3.5,MoM,+2.9%,(3.6 - 3.5) / 3.5 x 100,OK,
Ward 3 – Kothrud,Parks & Greening,2024-12,2.8,2024-11,3.6,MoM,-22.2%,(2.8 - 3.6) / 3.6 x 100,OK,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-01,3.4,2023-12,,MoM,,(actual[2024-01] - actual[2023-12]) / actual[2023-12] x 100,NO_PRIOR_PERIOD,no data for 2023-12 in the dataset; growth not computed
Ward 5 – Hadapsar,Streetlight Maintenance,2024-02,3.4,2024-01,3.4,MoM,+0.0%,(3.4 - 3.4) / 3.4 x 100,OK,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-03,4.1,2024-02,3.4,MoM,+20.6%,(4.1 - 3.4) / 3.4 x 100,OK,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-04,4.1,2024-03,4.1,MoM,+0.0%,(4.1 - 4.1) / 4.1 x 100,OK,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-05,,2024-04,4.1,MoM,,(actual[2024-05] - actual[2024-04]) / actual[2024-04] x 100,NULL_FLAGGED,actual_spend is null - Equipment procurement delay; growth not computed
Ward 5 – Hadapsar,Streetlight Maintenance,2024-06,3.8,2024-05,,MoM,,(actual[2024-06] - actual[2024-05]) / actual[2024-05] x 100,PRIOR_NULL_FLAGGED,2024-05 actual_spend is null - Equipment procurement delay; growth not computed
Ward 5 – Hadapsar,Streetlight Maintenance,2024-07,5.3,2024-06,3.8,MoM,+39.5%,(5.3 - 3.8) / 3.8 x 100,OK,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-08,5.4,2024-07,5.3,MoM,+1.9%,(5.4 - 5.3) / 5.3 x 100,OK,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-09,5.0,2024-08,5.4,MoM,-7.4%,(5.0 - 5.4) / 5.4 x 100,OK,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-10,3.8,2024-09,5.0,MoM,-24.0%,(3.8 - 5.0) / 5.0 x 100,OK,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-11,3.3,2024-10,3.8,MoM,-13.2%,(3.3 - 3.8) / 3.8 x 100,OK,
Ward 5 – Hadapsar,Streetlight Maintenance,2024-12,3.4,2024-11,3.3,MoM,+3.0%,(3.4 - 3.3) / 3.3 x 100,OK,
